,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_advantage,match_outcome,home_team_recent_form,away_team_recent_form
10553,1976-06-24,Norway,Denmark,0,0,Nordic Championship,Bergen,Norway,False,1,0,0.0,0.6
10569,1976-07-14,Finland,Iceland,1,0,Friendly,Helsinki,Finland,False,1,1,0.2,0.6
10585,1976-08-11,Sweden,Finland,6,0,Nordic Championship,Malmö,Sweden,False,1,1,0.4,0.4
10597,1976-08-17,Switzerland,Bulgaria,2,2,Friendly,Lucerne,Switzerland,False,1,0,0.2,0.6
10604,1976-08-21,Iceland,Luxembourg,3,1,Friendly,Reykjavík,Iceland,False,1,1,0.4,0.0
10607,1976-08-25,Finland,Turkey,2,1,Friendly,Helsinki,Finland,False,1,1,0.4,0.2
10606,1976-08-25,Denmark,Norway,3,0,Nordic Championship,Vejle,Denmark,False,1,1,0.6,0.0
10611,1976-09-01,Denmark,France,1,1,Friendly,Copenhagen,Denmark,False,1,0,0.8,0.4
10614,1976-09-05,Iceland,Belgium,0,1,FIFA World Cup qualification,Reykjavík,Iceland,False,1,2,0.6,0.4
10617,1976-09-08,England,Republic of Ireland,1,1,Friendly,London,England,False,1,0,0.8,0.6
10618,1976-09-08,Iceland,Netherlands,0,1,FIFA World Cup qualification,Reykjavík,Iceland,False,1,2,0.6,0.6
10620,1976-09-08,Norway,Switzerland,1,0,FIFA World Cup qualification,Oslo,Norway,False,1,1,0.0,0.2
10621,1976-09-08,Scotland,Finland,6,0,Friendly,Glasgow,Scotland,False,1,1,0.8,0.4
10622,1976-09-08,Sweden,Hungary,1,1,Friendly,Solna,Sweden,False,1,0,0.6,0.8
10644,1976-09-22,Greece,Israel,0,1,Friendly,Patras,Greece,False,1,2,0.4,0.2
10642,1976-09-22,Finland,Luxembourg,7,1,FIFA World Cup qualification,Helsinki,Finland,False,1,1,0.4,0.0
10645,1976-09-22,Norway,Sweden,3,2,Nordic Championship,Oslo,Norway,False,1,1,0.2,0.6
10640,1976-09-22,Bulgaria,Turkey,2,2,Friendly,Sofia,Bulgaria,False,1,0,0.4,0.2
10639,1976-09-22,Austria,Switzerland,3,1,Friendly,Linz,Austria,False,1,1,0.4,0.2
10641,1976-09-22,Denmark,Italy,0,1,Friendly,Copenhagen,Denmark,False,1,2,0.6,0.8
10658,1976-10-06,Wales,Germany,0,2,Friendly,Cardiff,Wales,False,1,2,0.4,0.8
10659,1976-10-09,Bulgaria,France,2,2,FIFA World Cup qualification,Sofia,Bulgaria,False,1,0,0.4,0.4
10660,1976-10-09,Greece,Hungary,1,1,FIFA World Cup qualification,Piraeus,Greece,False,1,0,0.2,0.6
10661,1976-10-09,Switzerland,Sweden,1,2,FIFA World Cup qualification,Basel,Switzerland,False,1,2,0.2,0.6
10672,1976-10-13,Austria,Hungary,2,4,Friendly,Vienna,Austria,False,1,2,0.4,0.4
10674,1976-10-13,England,Finland,2,1,FIFA World Cup qualification,London,England,False,1,1,0.6,0.6
10675,1976-10-13,Netherlands,Northern Ireland,2,2,FIFA World Cup qualification,Rotterdam,Netherlands,False,1,0,0.8,0.2
10676,1976-10-13,Turkey,Republic of Ireland,3,3,Friendly,Ankara,Turkey,False,1,0,0.2,0.6
10679,1976-10-16,Luxembourg,Italy,1,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False,1,2,0.0,0.8
